q1,q2,q3,q4,Call Price,Put Price,Scenario
0.0,0.02,0.08,0.06,3.3387,5.3351,"q=(0.0, 0.02, 0.08, 0.06)"
0.0,0.02,0.08,0.07,3.4217,5.3993,"q=(0.0, 0.02, 0.08, 0.07)"
0.0,0.02,0.08,0.08,3.2623,5.4895,"q=(0.0, 0.02, 0.08, 0.08)"
0.0,0.03,0.0,0.0,4.1159,4.6301,"q=(0.0, 0.03, 0.0, 0.0)"
0.0,0.03,0.0,0.01,3.9701,4.6866,"q=(0.0, 0.03, 0.0, 0.01)"
0.0,0.03,0.0,0.02,4.0874,4.5428,"q=(0.0, 0.03, 0.0, 0.02)"
0.0,0.03,0.0,0.03,3.916,4.6657,"q=(0.0, 0.03, 0.0, 0.03)"
0.0,0.03,0.0,0.04,3.8478,4.801,"q=(0.0, 0.03, 0.0, 0.04)"
0.0,0.03,0.0,0.05,3.7042,4.989,"q=(0.0, 0.03, 0.0, 0.05)"
0.0,0.03,0.0,0.06,3.7836,4.8574,"q=(0.0, 0.03, 0.0, 0.06)"
0.0,0.03,0.0,0.07,3.7765,4.8416,"q=(0.0, 0.03, 0.0, 0.07)"
0.0,0.03,0.0,0.08,3.7067,5.0039,"q=(0.0, 0.03, 0.0, 0.08)"
0.0,0.03,0.01,0.0,4.0303,4.6278,"q=(0.0, 0.03, 0.01, 0.0)"
0.0,0.03,0.01,0.01,3.9364,4.6609,"q=(0.0, 0.03, 0.01, 0.01)"
0.0,0.03,0.01,0.02,3.9935,4.7671,"q=(0.0, 0.03, 0.01, 0.02)"
0.0,0.03,0.01,0.03,3.8156,4.8002,"q=(0.0, 0.03, 0.01, 0.03)"
0.0,0.03,0.01,0.04,3.756,4.6666,"q=(0.0, 0.03, 0.01, 0.04)"
0.0,0.03,0.01,0.05,3.6586,4.9441,"q=(0.0, 0.03, 0.01, 0.05)"
0.0,0.03,0.01,0.06,3.7573,4.8589,"q=(0.0, 0.03, 0.01, 0.06)"
0.0,0.03,0.01,0.07,3.5837,4.9734,"q=(0.0, 0.03, 0.01, 0.07)"
0.0,0.03,0.01,0.08,3.7026,4.9654,"q=(0.0, 0.03, 0.01, 0.08)"
0.0,0.03,0.02,0.0,4.0072,4.6307,"q=(0.0, 0.03, 0.02, 0.0)"
0.0,0.03,0.02,0.01,3.8801,4.7101,"q=(0.0, 0.03, 0.02, 0.01)"
0.0,0.03,0.02,0.02,3.7952,4.8183,"q=(0.0, 0.03, 0.02, 0.02)"
0.0,0.03,0.02,0.03,3.901,4.8757,"q=(0.0, 0.03, 0.02, 0.03)"
0.0,0.03,0.02,0.04,3.7158,4.8421,"q=(0.0, 0.03, 0.02, 0.04)"
0.0,0.03,0.02,0.05,3.8425,4.8286,"q=(0.0, 0.03, 0.02, 0.05)"
0.0,0.03,0.02,0.06,3.6486,4.9899,"q=(0.0, 0.03, 0.02, 0.06)"
0.0,0.03,0.02,0.07,3.7545,5.0829,"q=(0.0, 0.03, 0.02, 0.07)"
0.0,0.03,0.02,0.08,3.4596,5.1454,"q=(0.0, 0.03, 0.02, 0.08)"
0.0,0.03,0.03,0.0,3.9213,4.653,"q=(0.0, 0.03, 0.03, 0.0)"
0.0,0.03,0.03,0.01,3.8446,4.8008,"q=(0.0, 0.03, 0.03, 0.01)"
